Paper ID,Venue,Publication year ,Granularity,Paradigm,Model/LLM,NL Metrics,Dataset / Benchmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper1,Arvix,2023,Function-level,Zero-shot ,ChatGPT (GPT-3.5 series),"BLEU-4, METEOR, ROUGE-L",CSN-Python (CodeSearchNet Python functions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper2,FSE,2024,Function-level,Zero-shot ,CodeBERT; CodeT5; GPT-4,BLEU-4,CodeSearchNet (Code search + summarization tasks); GPT-4 evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper3,ACL,2023,Function-level,Zero-shot ,ERNIE-Code; mT5,"BLEU-4, ROUGE-L, chrF",mCoNaLa multilingual + Chinese code summary dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper4,MSR,2025,Function-level,Zero-shot ,GPT-4,BLEU,"CodeXGLUE (CSN-Python), HumanEval, MBPP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper5,ICLR,2023,Function-level,Zero-shot,InCoder-6.7B,BLEU-4,"CodeXGLUE, HumanEval, TypeWriter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper6,COMPSAC,2024,Function-level,Zero-shot ,PLBART; CodeT5; ChatGPT,"BLEU-DC, BLEU-CN, BLEU-NCS, SBERT",Custom Java dataset (96 Apache projects),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper7,SANER,2024,Code-changes-level,Zero-shot,ChatGPT; Llama2,"BLEU-Moses, BLEU-Norm, BLEU-NLTK, ROUGE-L","7,661 commit diffs from 1,000 GitHub Java projects",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper8,ICSE,2024,Repository-level,Zero-shot ,Llama-3; StarChat2; Codestral,"ROUGE-L, BLEU, BERTScore, SemSim, LLM judge",Java telecom codebase (BSS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper9,ArVix,2025,Module-level,Zero-shot ,CodeLlama-Instruct; CodeGemma; GPT-4,No metrics,10 Java projects (hand-selected),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper10,ICSE,2025,Code-changes-level,Zero-shot ,GPT-4; Llama3,"BLEU, METEOR, ROUGE-L","OMG benchmark (381 commits, 32 Apache projects)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper11,ICSME,2024,Function-level,Few-shot,GPT-4,No metrics,2 Python functions (controlled study),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper12,ASE,2024,Function-level,Few-shot ,GPT-4,"Accuracy, ASR","1,000 samples from Python dataset (Srikant et al.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper13,ASE,2022,Function-level,Few-shot,OpenAI Codex,BLEU-4 (smoothed),"CodeXGLUE (Java, Python, Ruby, JS, Go, PHP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper14,ASE,2023,Function-level,RAG,Codex; GPT-3.5; ChatGPT,"BLEU-4, ROUGE-L, METEOR","CodeSearchNet (Java), TLCodeSum (Java)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper15,ASE,2024,Function-level,RAG ,GPT-Neo; CodeLlama,"BLEU-4, ROUGE-L, METEOR, chrF",CodeSearchNet (6 languages),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper16,JSS,2024,Function-level,RAG,ChatGPT; CodeBERT; CodeT5,"BLEU-4, ROUGE-L",Six project-specific datasets from CodeXGLUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper17,ACL,2023,Function-level,RAG,CodeT5; Codex; ChatGPT,BLEU-4,CodeSearchNet-JS; The Vault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper18,ICSE,2024,Function-level,RAG,davinci002; davinci003; GPT-3.5,"BLEU-4*, ROUGE-L, METEOR","CodeSearchNet (6 languages, deduped)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper19,ICSE,2025,Module/Repo-level,RAG,DeepSeekCoder; StarCoder2,"BLEU-4, ROUGE-L, METEOR, BERTScore-F1, BLEURT, SIDE",Modified ClassEval + Modified CodeSearchNet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper20,EMNLP,2024,Function-level,RAG,CodeLlama; GPT-4o,No metric,"Custom C/C++ benchmark (ffmpeg, openssl, llvm, etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper21,TSE,2023,Function-level,RAG,Seq2Seq; MAML,"BLEU-4, ROUGE-L, METEOR",JCSD (Java) + PCSD (Python),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper22,IJCAI,2024,Function-level,CoT,ChatGPT; GPT-4,"Precision, F1, semantic acc","TL-CodeSum, CodeSearchNet (Python/Java), Wan et al.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper23,ITOEC,2023,Module-level,CoT,GPT-3.5-turbo,No metrics,JHotDraw 5.1 Java project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper24,ASE,2022,Function-level,Zero-shot+Few-shot,Codex; CodeLlama; StarChat; GPT-3.5; GPT-4,"BLEU-4, FK Grade, TF-IDF, Doc length",CodeSearchNet (6 languages),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper25,ICSE,2024,Function-level,Zero-shot + RAG,OpenAI Codex,"BLEU, ROUGE-L, METEOR",FunCom + TLC Java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper26,FSE,2024,Code-changes-level,Zero-shot + CoT,GPT-4,"BLEU, ROUGE-L, METEOR",32 Apache project commits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper27,ICSE,2025,Function-level,Zero+Few+CoT,CodeLlama; StarChat; GPT-3.5; GPT-4,"BLEU, ROUGE-L, METEOR, BERTScore, SIDE",CodeSearchNet + Erlang/Haskell/Prolog datasets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
